tcp_packets,dist_port_tcp,external_ips,vulume_bytes,udp_packets,source_app_packets,remote_app_packets,source_app_bytes,remote_app_bytes,source_app_packets.1,dns_query_times,type
42,0,1,7063,0,43,29,4090,7133,43,1,benign
6,0,1,887,0,7,6,819,973,7,1,benign
318,0,2,24251,0,323,443,434362,24622,323,5,benign
198,0,6,24172,0,209,227,186049,25051,209,11,benign
107,2,4,10322,0,110,116,132400,10549,110,3,benign
210,0,7,24369,0,223,230,186416,25422,223,13,benign
291,0,4,21121,0,295,505,692746,21429,295,4,benign
102,0,7,22973,0,112,96,20301,23762,112,10,benign
91,0,8,22054,0,102,88,19091,22914,102,11,benign
36,6,3,3911,0,39,33,5067,4140,39,3,benign
6,0,1,805,0,7,6,1381,874,7,1,benign
13,6,2,1769,0,15,13,1654,1917,15,2,benign
45,18,2,10164,0,49,45,6089,10463,49,4,benign
202,0,6,25041,0,212,223,190721,25833,212,10,benign
6,0,1,1307,0,7,7,1947,1382,7,1,benign
308,0,4,22869,0,312,527,725128,23177,312,4,benign
100,0,7,23436,0,109,98,20859,24138,109,9,benign
120,0,7,23738,0,132,109,22314,24701,132,12,benign
109,0,8,22885,0,118,98,21221,23587,118,9,benign
13,0,2,2079,0,15,14,1771,2227,15,2,benign
358,0,5,28824,0,367,455,564330,29482,367,9,benign
12,0,2,888,0,14,2,353,1051,14,2,benign
107,0,8,22821,0,116,98,20250,23523,116,9,benign
103,0,9,22150,0,113,95,19622,22923,113,10,benign
134,0,7,22786,0,141,185,170165,23308,141,7,benign
94,0,7,22006,0,104,93,21295,22779,104,10,benign
0,0,1,90,1,2,1,542,162,2,1,benign
107,0,7,23992,0,118,105,22248,24836,118,11,benign
91,0,7,21091,0,100,89,18734,21793,100,9,benign
100,0,8,21936,0,109,92,19189,22638,109,9,benign
13,0,2,2181,0,15,14,1663,2329,15,2,benign
53,0,5,5766,0,59,69,34148,6236,59,6,benign
104,0,10,22059,0,117,99,22499,23077,117,13,benign
94,0,9,21810,0,105,94,19992,22654,105,11,benign
42,0,1,7021,0,43,29,3994,7091,43,1,benign
94,0,3,9774,0,97,208,282117,9998,97,3,benign
100,0,9,22239,0,111,95,19869,23083,111,11,benign
6,0,1,1013,0,7,7,1077,1085,7,1,benign
97,0,7,23360,0,106,94,19478,24062,106,9,benign
252,0,2,20079,0,257,408,418034,20450,257,5,benign
114,0,9,23586,0,127,106,22567,24604,127,13,benign
96,0,9,21917,0,108,96,20202,22848,108,12,benign
6,0,1,444,0,7,1,228,532,7,1,benign
38,0,2,6865,0,40,37,5814,7015,40,2,benign
36,6,3,3911,0,39,33,5100,4140,39,3,benign
92,0,8,21675,0,103,92,21238,22535,103,11,benign
26,26,2,6844,0,28,20,10612,6995,28,2,benign
6,0,2,444,0,9,3,482,665,9,3,benign
117,30,5,16518,0,129,95,11657,17448,129,12,benign
28,6,4,4795,0,33,28,3917,5198,33,5,benign
175,0,6,13014,0,181,365,495516,13474,181,6,benign
59,0,3,7493,0,63,66,23734,7797,63,4,benign
28,6,5,4768,0,33,28,3931,5172,33,5,benign
18,0,3,2198,0,21,19,2616,2422,21,3,benign
36,6,3,3911,0,39,33,5101,4140,39,3,benign
101,0,9,22137,0,112,95,19885,22981,112,11,benign
0,0,0,0,0,2,2,257,143,2,2,benign
18,0,3,2859,0,21,20,2343,3081,21,3,benign
150,0,4,11113,0,156,337,456969,11600,156,6,benign
12,0,2,2025,0,14,14,1438,2171,14,2,benign
110,0,8,24132,0,122,109,27521,25063,122,12,benign
6,0,1,889,0,7,6,819,975,7,1,benign
8,0,1,2007,0,9,8,1376,2080,9,1,benign
6,0,1,881,0,7,6,819,967,7,1,benign
167,0,6,21323,0,176,200,153720,22039,176,9,benign
207,0,3,26815,0,210,287,272887,27047,210,3,benign
6,0,1,887,0,7,6,819,973,7,1,benign
185,0,6,23028,0,196,221,184194,23907,196,11,benign
6,0,1,1152,0,7,7,815,1226,7,1,benign
31,0,3,5301,0,34,29,4428,5538,34,3,benign
6,0,1,888,0,7,6,819,974,7,1,benign
98,0,6,22252,0,108,96,21448,23041,108,10,benign
6,6,1,1025,0,8,7,999,1178,8,2,benign
6,0,1,1075,0,7,7,654,1149,7,1,benign
111,0,5,20808,0,116,166,160528,21178,116,5,benign
6,0,1,1355,0,7,6,880,1428,7,1,benign
101,0,8,22881,0,112,94,21161,23757,112,11,benign
91,0,9,21137,0,102,91,19334,21981,102,11,benign
53,25,5,6962,0,59,36,4623,7454,59,6,benign
26,0,3,7169,0,29,25,4553,7379,29,3,benign
28,6,4,4803,0,33,28,3948,5206,33,5,benign
106,0,9,22743,0,116,98,20266,23516,116,10,benign
96,0,9,22076,0,108,96,19984,23007,108,12,benign
6,0,1,444,0,7,1,170,519,7,1,benign
104,0,7,23297,0,113,100,21044,23999,113,9,benign
33,0,1,4452,0,34,29,2888,4530,34,1,benign
135,0,6,22667,0,141,181,161606,23118,141,6,benign
109,0,6,24061,0,120,100,21391,24937,120,11,benign
35,0,2,3812,0,37,50,59039,3974,37,2,benign
21,0,3,2270,0,25,20,3549,2582,25,4,benign
44,0,1,5670,0,46,39,4922,5830,46,2,benign
94,0,7,21848,0,103,92,19355,22550,103,9,benign
99,0,7,23633,0,111,93,18957,24589,111,12,benign
88,0,7,22265,0,97,84,18822,22967,97,9,benign
44,0,1,5487,0,46,39,4923,5647,46,2,benign
101,0,10,22172,0,112,95,19824,23016,112,11,benign
104,0,8,22103,0,113,94,19244,22795,113,9,benign
140,20,6,16495,0,149,155,155362,17238,149,9,benign
40,0,2,3578,0,42,49,50459,3726,42,2,benign
133,0,3,9232,0,136,315,454762,9461,136,3,benign
18,0,3,2787,0,22,29,4112,3092,22,4,benign
56,0,3,8610,0,60,54,5691,8912,60,4,benign
101,0,9,21892,0,111,94,19551,22665,111,10,benign
102,0,9,22103,0,112,95,21280,22876,112,10,benign
103,0,7,21886,0,113,94,20835,22665,113,10,benign
95,0,7,21671,0,105,93,20890,22444,105,10,benign
103,0,8,22251,0,113,95,19453,23040,113,10,benign
109,0,9,22672,0,120,100,21815,23516,120,11,benign
205,0,7,24111,0,216,228,186199,24990,216,11,benign
188,0,6,23365,0,198,212,182070,24157,198,10,benign
7,0,1,1063,0,10,9,1071,1283,10,3,benign
36,6,3,3911,0,39,33,5098,4140,39,3,benign
124,0,4,12170,0,129,126,75090,12553,129,5,benign
93,0,7,21797,0,102,91,19374,22499,102,9,benign
103,0,9,23771,0,118,104,22670,24963,118,15,benign
0,0,0,0,0,1,1,132,77,1,1,benign
185,0,6,22173,0,194,203,156444,22889,194,9,benign
5,0,1,571,0,6,5,564,655,6,1,benign
10,4,2,1315,0,11,7,1100,1387,11,1,benign
36,0,3,6711,0,39,35,4844,6948,39,3,benign
6,0,1,883,0,7,6,819,969,7,1,benign
102,0,9,23064,0,112,94,21178,23837,112,10,benign
17,0,2,1384,0,19,12,9897,1532,19,2,benign
209,0,7,24552,0,219,229,186154,25344,219,10,benign
245,0,8,26486,0,255,252,223687,27277,255,10,benign
6,0,1,889,0,7,6,819,975,7,1,benign
6,0,1,1175,0,7,7,647,1249,7,1,benign
246,0,2,19507,0,251,378,371627,19878,251,5,benign
257,0,2,20591,0,262,379,365140,20962,262,5,benign
6,0,1,887,0,7,6,819,973,7,1,benign
6,0,1,888,0,7,6,819,974,7,1,benign
119,0,8,24677,0,131,115,31778,25608,131,12,benign
168,0,6,20678,0,177,190,155407,21394,177,9,benign
190,0,5,23803,0,200,214,164076,24606,200,10,benign
200,0,11,33625,0,214,250,189287,34701,214,14,benign
31,0,3,4165,0,34,30,8698,4402,34,3,benign
202,0,7,24023,0,216,230,186568,25163,216,14,benign
89,2,4,9268,0,92,115,132346,9495,92,3,benign
117,0,4,13366,0,121,155,148126,13679,121,4,benign
10,4,2,1313,0,11,7,1100,1385,11,1,benign
91,0,6,22016,0,103,91,20873,22979,103,12,benign
6,0,1,888,0,7,6,819,974,7,1,benign
110,1,4,10034,0,113,119,131247,10261,113,3,benign
108,0,8,23059,0,120,101,20577,24006,120,12,benign
36,6,3,3911,0,39,33,5100,4140,39,3,benign
179,0,6,21380,0,188,206,184800,22091,188,9,benign
6,0,1,888,0,7,6,819,974,7,1,benign
104,0,7,23245,0,113,101,26811,23947,113,9,benign
72,72,3,6714,0,84,72,7285,7599,84,12,benign
227,0,9,33606,0,241,238,165672,34693,241,14,benign
254,0,8,28181,0,267,263,229989,29233,267,13,benign
33,0,1,8974,0,34,31,4482,9048,34,1,benign
6,0,1,877,0,7,6,819,963,7,1,benign
130,0,10,27108,0,143,129,53914,28115,143,13,benign
248,0,8,27576,0,260,274,253662,28535,260,12,benign
270,0,9,29240,0,281,293,268974,30112,281,11,benign
214,0,6,24896,0,230,241,191512,26210,230,16,benign
28,0,3,5099,0,31,29,3264,5336,31,3,benign
6,0,1,888,0,7,6,819,974,7,1,benign
37,0,2,3918,0,39,49,59113,4080,39,2,benign
10,4,2,1313,0,11,7,1100,1385,11,1,benign
6,0,1,888,0,7,6,819,974,7,1,benign
6,0,1,888,0,7,6,819,974,7,1,benign
192,0,7,22844,0,202,218,185187,23636,202,10,benign
163,3,4,13731,0,166,205,254500,13958,166,3,benign
6,0,1,889,0,7,6,819,975,7,1,benign
6,0,1,884,0,7,6,819,970,7,1,benign
210,0,6,23973,0,221,228,183360,24852,221,11,benign
297,0,4,22224,0,301,518,717234,22532,301,4,benign
129,0,8,24880,0,139,118,23139,25653,139,10,benign
13,13,1,1666,0,15,14,6230,1824,15,2,benign
132,0,6,22475,0,138,179,161413,22926,138,6,benign
605,29,5,41260,0,610,667,865243,41644,610,5,benign
28,6,5,4787,0,33,28,3938,5190,33,5,benign
82,0,7,22201,0,91,85,19809,22903,91,9,benign
91,0,7,21270,0,100,89,18865,21972,100,9,benign
6,0,1,1065,0,7,7,654,1139,7,1,benign
36,6,3,3911,0,39,33,5099,4140,39,3,benign
44,0,1,5415,0,46,39,4921,5575,46,2,benign
105,0,9,22465,0,115,97,21132,23238,115,10,benign
99,0,1,14526,0,105,99,7782,15006,105,6,benign
116,0,7,23609,0,126,104,22459,24398,126,10,benign
66,0,6,16564,0,74,84,19677,17185,74,8,benign
33,0,1,4469,0,34,29,2888,4547,34,1,benign
12,0,2,888,0,14,2,353,1051,14,2,benign
59,0,2,11225,0,62,53,4748,11450,62,3,benign
44,0,1,5562,0,46,39,4921,5722,46,2,benign
6,0,1,1144,0,7,7,984,1218,7,1,benign
96,0,8,21903,0,107,90,20391,22763,107,11,benign
0,0,0,0,0,1,1,155,84,1,1,benign
107,0,9,22547,0,117,98,21463,23320,117,10,benign
103,0,9,22027,0,114,96,19484,22887,114,11,benign
1041,14,7,69098,0,1049,3360,4979573,69727,1049,8,benign
87,0,7,20817,0,97,88,18910,21590,97,10,benign
91,0,7,21943,0,103,94,20884,22890,103,12,benign
75,0,7,19604,0,84,78,18107,20306,84,9,benign
99,0,8,23652,0,110,98,21726,24512,110,11,benign
41,0,1,7017,0,42,28,3609,7087,42,1,benign
31,0,2,5449,0,33,27,3844,5594,33,2,benign
112,0,4,10382,0,117,114,72424,10765,117,5,benign
24,0,3,2690,0,27,23,3221,2918,27,3,benign
100,0,7,23043,0,109,98,20645,23745,109,9,benign
109,0,7,24402,0,122,109,22584,25452,122,13,benign
44,0,1,5532,0,46,39,4923,5692,46,2,benign
11,0,2,1801,0,13,11,1680,1947,13,2,benign
96,0,7,22267,0,106,94,19722,23040,106,10,benign
99,0,8,21890,0,109,95,20984,22663,109,10,benign
127,0,8,26749,0,139,125,53438,27685,139,12,benign
117,0,4,12720,0,121,152,147960,13033,121,4,benign
89,0,7,21573,0,98,89,19272,22275,98,9,benign
209,0,7,24419,0,221,231,186461,25385,221,12,benign
7,0,1,1063,0,10,9,1071,1283,10,3,benign
93,0,7,21433,0,103,91,19132,22222,103,10,benign
5,0,1,565,0,6,6,613,643,6,1,benign
6,0,1,1308,0,7,7,1947,1383,7,1,benign
228,0,7,25799,0,240,249,215944,26775,240,12,benign
148,0,4,17051,0,152,165,148511,17370,152,4,benign
6,0,1,1355,0,7,6,880,1428,7,1,benign
182,0,5,22697,0,192,211,164070,23500,192,10,benign
122,0,9,26741,0,135,124,52967,27748,135,13,benign
206,0,6,24811,0,217,236,186525,25690,217,11,benign
6,0,1,888,0,7,6,819,974,7,1,benign
195,0,7,23548,0,205,221,185567,24340,205,10,benign
136,2,5,13033,0,140,145,162973,13341,140,4,benign
0,0,0,0,0,1,7,1908,72,1,1,benign
6,0,1,879,0,7,6,819,965,7,1,benign
14,0,2,2746,0,16,14,1919,2889,16,2,benign
36,6,3,3911,0,39,33,5066,4140,39,3,benign
6,0,1,1113,0,7,7,815,1187,7,1,benign
86,0,7,19981,0,94,80,17770,20602,94,8,benign
47,0,4,6090,0,51,42,7666,6409,51,4,benign
6,0,1,889,0,7,6,819,975,7,1,benign
208,0,7,24369,0,222,230,186600,25509,222,14,benign
246,0,9,27585,0,259,264,227218,28631,259,13,benign
54,54,3,5064,0,63,54,5457,5721,63,9,benign
6,0,1,882,0,7,6,819,968,7,1,benign
105,0,6,22641,0,118,104,26071,23691,118,13,benign
126,2,5,11952,0,131,133,135123,12339,131,5,benign
118,0,5,12834,0,122,150,147746,13147,122,4,benign
6,0,1,887,0,7,6,819,973,7,1,benign
6,0,1,1235,0,7,7,786,1309,7,1,benign
216,0,7,25358,0,229,236,186939,26411,229,13,benign
36,6,3,3911,0,39,33,5068,4140,39,3,benign
88,2,4,9193,0,91,114,132303,9420,91,3,benign
6,0,1,1140,0,7,7,647,1214,7,1,benign
47,0,3,8777,0,52,43,6755,9147,52,5,benign
285,0,4,21532,0,289,520,704951,21840,289,4,benign
28,6,4,4812,0,33,28,3955,5216,33,5,benign
171,25,5,14858,0,178,249,273029,15460,178,7,benign
103,0,9,22303,0,113,95,19556,23076,113,10,benign
36,6,3,3911,0,39,33,5067,4140,39,3,benign
12,6,2,2091,0,14,15,1654,2244,14,2,benign
14,0,1,1329,0,16,15,7523,1477,16,2,benign
106,0,9,23952,0,116,98,21394,24725,116,10,benign
201,0,6,23129,0,211,218,186163,23921,211,10,benign
202,0,6,24205,0,213,227,190246,25084,213,11,benign
13,13,1,1666,0,15,14,6181,1824,15,2,benign
6,0,1,1126,0,7,7,815,1200,7,1,benign
97,0,7,22036,0,109,97,20165,22983,109,12,benign
40,35,2,8037,0,43,39,25585,8256,43,3,benign
31,18,2,4934,0,35,31,3827,5233,35,4,benign
200,21,8,17184,0,208,256,272159,17839,208,8,benign
168,0,5,20693,0,177,197,155638,21409,177,9,benign
172,0,6,22172,0,181,195,155516,22888,181,9,benign
183,0,5,21249,0,192,199,159409,21971,192,9,benign
171,0,6,22256,0,181,207,181462,23048,181,10,benign
368,0,16,56493,0,398,462,396775,58783,398,30,benign
27,0,3,5241,0,31,37,11255,5560,31,4,benign
7,0,1,1018,0,8,7,783,1090,8,1,benign
179,0,9,29255,0,191,262,234806,30191,191,12,benign
203,0,6,24290,0,214,229,190105,25169,214,11,benign
237,0,4,17943,0,246,273,333217,18630,246,9,benign
36,0,2,4751,0,40,39,5306,5048,40,4,benign
36,6,3,3911,0,39,33,5069,4140,39,3,benign
93,0,9,22094,0,103,88,19032,22867,103,10,benign
325,0,5,26799,0,335,457,564642,27530,335,10,benign
31,0,3,4634,0,34,30,4963,4862,34,3,benign
0,0,0,0,0,2,2,257,143,2,2,benign
185,0,6,23356,0,196,209,157264,24246,196,11,benign
13,13,1,1666,0,15,14,6426,1824,15,2,benign
117,0,4,12710,0,121,153,150847,13023,121,4,benign
6,0,1,889,0,7,6,819,975,7,1,benign
6,0,1,887,0,7,6,819,973,7,1,benign
192,0,6,24405,0,203,212,160168,25295,203,11,benign
246,0,8,28343,0,257,256,227976,29215,257,11,benign
243,0,8,27672,0,253,251,224445,28463,253,10,benign
191,0,7,22766,0,204,221,188148,23796,204,13,benign
12,0,2,888,0,14,2,481,1051,14,2,benign
153,2,4,13117,0,156,206,254543,13344,156,3,benign
77,0,7,21245,0,86,81,18492,21947,86,9,benign
140,46,5,18747,0,152,101,12457,19678,152,12,benign
176,0,7,22579,0,187,210,181759,23458,187,11,benign
180,0,6,23213,0,190,214,185784,24005,190,10,benign
29,29,1,9534,0,32,29,12120,9751,32,3,benign
287,0,4,20843,0,291,516,718553,21151,291,4,benign
103,0,9,22971,0,115,96,21290,23918,115,12,benign
156,126,3,14152,0,159,254,286868,14382,159,3,benign
33,0,1,4458,0,34,29,2888,4536,34,1,benign
28,0,4,3804,0,32,27,4978,4085,32,4,benign
11,0,2,2013,0,13,12,1593,2162,13,2,benign
79,0,6,21156,0,88,81,18425,21858,88,9,benign
50,50,2,5006,0,52,26,11896,5160,52,2,benign
28,6,5,4828,0,33,28,3963,5232,33,5,benign
103,0,10,22352,0,115,97,20001,23283,115,12,benign
44,0,1,5562,0,46,39,4922,5722,46,2,benign
36,6,3,3911,0,39,33,5069,4140,39,3,benign
87,0,6,21809,0,97,87,20796,22598,97,10,benign
72,0,5,10525,0,76,64,14085,10830,76,4,benign
222,7,7,24624,0,230,245,184532,25257,230,8,benign
91,0,8,22004,0,101,87,18743,22793,101,10,benign
6,0,1,444,0,7,1,170,519,7,1,benign
96,0,9,21921,0,108,96,20202,22852,108,12,benign
5,0,1,566,0,6,5,564,650,6,1,benign
142,0,8,26237,0,150,196,171251,26830,150,8,benign
88,0,8,21186,0,97,83,18320,21888,97,9,benign
104,0,8,21744,0,113,96,20248,22446,113,9,benign
96,0,6,22243,0,105,93,19777,22945,105,9,benign
0,0,0,0,0,1,1,132,77,1,1,benign
13,0,2,2150,0,15,14,1663,2298,15,2,benign
12,0,2,2149,0,14,14,1889,2295,14,2,benign
6,0,1,1308,0,7,7,1947,1383,7,1,benign
78,0,6,21074,0,87,80,18197,21776,87,9,benign
7,0,1,1290,0,9,12,2360,1450,9,2,benign
103,0,9,23456,0,114,96,19974,24300,114,11,benign
114,0,10,23380,0,125,104,20848,24224,125,11,benign
106,0,10,22772,0,117,99,20580,23616,117,11,benign
102,0,6,23126,0,111,99,21191,23828,111,9,benign
12,0,2,1140,0,14,7,2260,1296,14,2,benign
105,0,9,22397,0,117,98,19865,23328,117,12,benign
28,6,4,4824,0,33,28,3953,5227,33,5,benign
68,0,3,7845,0,72,63,16098,8152,72,4,benign
98,0,8,22678,0,108,91,20916,23467,108,10,benign
6,0,1,1786,0,7,5,586,1860,7,1,benign
109,0,7,23164,0,119,100,21600,23953,119,10,benign
288,0,2,22451,0,293,424,431524,22822,293,5,benign
33,0,1,4461,0,34,29,2888,4539,34,1,benign
6,0,1,1065,0,7,7,654,1139,7,1,benign
13,0,2,2135,0,15,14,1771,2283,15,2,benign
82,0,7,19821,0,93,89,19050,20697,93,11,benign
0,0,0,0,0,1,25,2929,71,1,1,benign
192,0,6,22059,0,202,214,185355,22857,202,10,benign
155,2,4,13241,0,158,207,254608,13468,158,3,benign
170,0,5,22183,0,180,193,154733,22986,180,10,benign
36,6,3,3911,0,39,33,5097,4140,39,3,benign
6,0,1,1308,0,7,7,1947,1383,7,1,benign
7,7,1,3020,0,8,7,1978,3091,8,1,benign
19,0,1,3072,0,24,21,2591,3450,24,5,benign
0,0,0,0,0,5,5,744,379,5,5,benign
0,0,0,0,0,1,1,151,77,1,1,benign
44,0,4,4262,0,47,19,5677,4479,47,3,benign
58,0,4,5712,0,62,57,45962,6026,62,4,benign
16,16,1,4003,0,18,20,6941,4173,18,2,benign
25,11,2,3788,0,29,26,6417,4101,29,4,benign
237,0,3,22991,0,248,223,14016,23889,248,11,benign
23,0,1,3239,0,24,21,6591,3312,24,1,benign
23,0,1,3241,0,24,21,6655,3314,24,1,benign
6,0,1,1508,0,7,6,703,1581,7,1,benign
354,0,3,25991,0,361,438,578160,26597,361,7,benign
5,0,1,674,0,6,5,766,752,6,1,benign
110,83,4,20875,0,114,103,64266,21176,114,4,benign
11,0,1,814,0,12,1,141,890,12,1,benign
42,11,5,5770,0,50,44,8706,6398,50,8,benign
6,0,1,790,0,7,6,880,862,7,1,benign
21,0,1,3094,0,22,19,5918,3168,22,1,benign
12,0,1,888,0,13,1,162,962,13,1,benign
278,0,11,31663,0,291,306,247437,32628,291,13,benign
11,0,1,814,0,12,1,226,888,12,1,benign
11,0,2,814,0,12,1,317,885,12,1,benign
343,17,7,33454,0,354,392,366352,34278,354,11,benign
24,24,2,2140,0,27,23,2105,2356,27,3,benign
177,4,8,20561,0,185,175,93233,21175,185,8,benign
11,0,2,814,0,12,1,317,885,12,1,benign
20,0,1,4702,0,21,19,2576,4776,21,1,benign
0,0,0,0,0,1,1,151,87,1,1,benign
0,0,0,0,0,5,5,744,379,5,5,benign
234,0,3,22895,0,249,228,14729,24125,249,15,benign
0,0,0,0,0,3,3,448,229,3,3,benign
289,0,2,19508,0,296,461,643215,20010,296,7,benign
5,0,1,645,0,6,5,903,719,6,1,benign
79,6,6,14119,0,85,79,28875,14570,85,6,benign
12,0,1,888,0,13,1,162,962,13,1,benign
6,0,1,949,0,7,6,825,1021,7,1,benign
0,0,0,0,0,1,1,151,77,1,1,benign
21,0,1,3094,0,22,19,5918,3168,22,1,benign
6,0,1,802,0,7,6,913,879,7,1,benign
12,0,2,888,0,13,1,317,959,13,1,benign
79,5,6,14126,0,85,78,29196,14577,85,6,benign
57,0,2,5652,0,61,56,46046,5963,61,4,benign
23,0,1,3243,0,24,21,6655,3316,24,1,benign
0,0,0,0,0,1,1,151,87,1,1,benign
6,0,1,1081,0,7,7,654,1155,7,1,benign
44,0,4,4262,0,47,19,5357,4479,47,3,benign
21,0,1,3253,0,22,19,2359,3326,22,1,benign
5,0,1,645,0,6,5,887,719,6,1,benign
5,0,1,645,0,6,5,903,719,6,1,benign
213,0,6,18612,0,219,263,298250,19072,219,6,benign
194,0,5,16442,0,200,252,262565,16901,200,6,benign
18,18,2,1679,0,21,18,1816,1895,21,3,benign
53,11,6,6584,0,62,50,9797,7284,62,9,benign
26,6,3,4225,0,29,25,3119,4474,29,3,benign
54,11,6,6644,0,63,51,9915,7344,63,9,benign
6,0,1,1082,0,7,7,750,1156,7,1,benign
0,0,0,0,0,1,1,245,78,1,1,benign
6,0,1,734,0,7,6,724,812,7,1,benign
153,0,4,12612,0,158,218,230183,12990,158,5,benign
16,16,1,4003,0,18,20,6877,4173,18,2,benign
6,0,1,1153,0,7,7,815,1227,7,1,benign
291,0,2,19628,0,296,499,671816,19988,296,5,benign
21,0,1,3094,0,22,19,6014,3168,22,1,benign
21,0,3,3451,0,24,22,3014,3681,24,3,benign
312,0,11,33752,0,325,317,251480,34717,325,13,benign
1171,0,4,242714,0,1176,1050,145994,243080,1176,5,benign
5,0,1,739,0,6,6,913,815,6,1,benign
0,0,0,0,0,2,2,270,142,2,2,benign
6,0,1,444,0,7,1,139,516,7,1,benign
12,0,2,1483,0,14,7,1123,1642,14,2,benign
48,0,1,6224,0,49,33,10940,6295,49,1,benign
0,0,0,0,0,1,1,215,75,1,1,benign
235,0,7,37095,0,247,211,43883,37862,247,10,benign
30,0,2,3405,0,33,19,6749,3645,33,3,benign
108,0,3,20502,0,111,118,85304,20732,111,3,benign
12,12,1,1626,0,15,14,3654,1873,15,3,benign
610,0,5,42326,0,617,677,706117,42868,617,7,benign
0,0,0,0,0,4,4,288,288,4,4,benign
380,25,10,39443,0,391,410,406032,40298,391,11,benign
72,17,6,8620,0,81,90,76376,9159,81,7,benign
8,0,1,2262,0,9,8,761,2334,9,1,benign
18,18,1,2118,0,20,19,1847,2270,20,2,benign
292,240,11,48020,0,307,274,130984,49192,307,15,benign
106,4,7,13472,0,113,112,84234,14030,113,7,benign
0,0,2,8360,55,56,1,300,8430,56,1,benign
18,0,2,1332,0,20,2,302,1480,20,2,benign
0,0,0,0,0,1,1,148,75,1,1,benign
0,0,0,0,0,2,2,257,143,2,2,benign
49,0,3,4789,0,53,62,60691,5097,53,4,benign
24,11,4,3702,0,31,27,5287,4095,31,5,benign
0,0,0,0,0,4,4,549,289,4,4,benign
310,13,4,76942,0,315,295,39364,77309,315,5,benign
12,5,2,1774,0,13,11,1154,1847,13,1,benign
372,43,8,35952,0,380,382,352662,36580,380,8,benign
0,0,0,0,0,2,2,257,143,2,2,benign
12,12,2,1855,0,17,14,3677,2102,17,3,benign
0,0,0,0,0,2,2,257,143,2,2,benign
25,0,2,2641,0,59,27,2339,4923,59,27,benign
40,0,1,7681,0,41,33,4461,7753,41,1,benign
101,0,3,6959,0,104,156,209102,7180,104,3,benign
12,5,2,1774,0,13,11,1154,1847,13,1,benign
15,0,2,5737,0,17,15,2706,5879,17,2,benign
9,9,2,1641,0,14,11,3492,1888,14,3,benign
11,11,2,1771,0,16,13,3600,2018,16,3,benign
11,11,2,1768,0,16,13,3623,2015,16,3,benign
6,0,1,1004,0,7,6,729,1076,7,1,benign
23,11,4,3615,0,30,27,4927,4008,30,5,benign
